title,artist,nationality,gender,artist_birth_date,artist_death_date,artwork_begin_date,artwork_end_date,moma_department
"The Brown Sisters, Dallas, Texas",Nicholas Nixon,American,Male,1947,,2008,2008,Photography
Autumn Pattern,Paul L. Anderson,American,Male,1880,1956,1943,1943,Photography
When Sunny Expands,Rita Ackermann,Hungarian,Female,1968,,1997,1997,Prints & Illustrated Books
"New Orleans, Louisiana",Lee Friedlander,American,Male,1934,,1960,1960,Photography
Karl Blossfeldt,Cyan,German,Other/Unknown,1992,,1995,1995,Architecture & Design
Christina's World,Andrew Wyeth,American,Male,1917,2009,1948,1948,Painting & Sculpture
L’Esprit Nouveau letterhead (Letter to Bernard Geiser),Unknown,French,Other/Unknown,,,1921,1921,Architecture & Design
Deva Na Zvere (Maiden on the Beast) from Misticheskie obrazy voiny. 14 litografii (Mystical Images of War: Fourteen Lithographs),Natalia Goncharova,Russian,Female,1881,1962,1914,1914,Prints & Illustrated Books
Za iaponskim morem,Nikolai Il'in,,Male,,,1931,1931,Prints & Illustrated Books
"Rain, Beartrack Cove, Glacier Bay National Monument, Alaska",Ansel Adams,American,Male,1902,1984,1949,1949,Photography
"The New China Drawing: The World Above, The World Below",Alice Aycock,American,Female,1946,,1984,1984,Drawings
"House in Krems, project, Krems, Austria, Elevation",Otto Schönthal,Austrian,Male,1878,1961,1905,1905,Architecture & Design
"THE SPHINX AND THE CHIMERA (plate, folio 16) from QUELQUES BOIS",Sonia Lewitzka,Polish,Female,1882,1937,1918,1918,Prints & Illustrated Books
The World Cow,Franz Marc,German,Male,1880,1916,1913,1913,Painting & Sculpture
Plate (page 81) from LLULL,Antoni Tàpies,Spanish,Male,1923,2012,1985,1985,Prints & Illustrated Books
Forty-Seventh St,Brett Weston,American,Male,1911,1993,1945,1945,Photography
"Plate 13 from FUTURISTI, ASTRATTISTI, DADAISTI, PRECURSORI DELL'AVANGUARDIA, Volume 1/FUTURISTS, ABSTRACTIONISTS, DADAISTS, THE FORERUNNERS OF THE",Stanton Macdonald-Wright,American,Male,1890,1973,1962,1962,Prints & Illustrated Books
BONFIRE,Glenn O. Coleman,American,Male,1887,1932,1928,1928,Prints & Illustrated Books
Untitled from Andy Warhol Doesn't Play Second Base for the Chicago Cubs,Kelley Walker,American,Male,1969,,2010,2010,Prints & Illustrated Books
"Popular Print for the exhibition ""Dreams About Marcel Duchamp"" (Grabado popular impreso para la exhibición ""Sueños con Marcel Duchamp""), Popular Print for the exhibition \""\Dreams About Marcel Duchamp\"" (\Grabado popular impreso para la exhibición \""\Sueños con Marcel Duchamp\"")\",Álvaro Barrios,Colombian,Male,1945,,1980,1980,Prints & Illustrated Books
Plate (folio 76) from ALMARIO,Joan Miró,Spanish,Male,1893,1983,1982,1985,Prints & Illustrated Books
"SEVENTH CHAPTER, AT THE RABBI'S (plate, folio 19) from THE BEWITCHED TAILOR",Anatoli Lvovich Kaplan,Russian,Male,1902,1980,1954,1957,Prints & Illustrated Books
Man with Pipe (Mann mit Pfeife),Christian Rohlfs,German,Male,1849,1938,1921,1922,Prints & Illustrated Books
The Mark of Zorro,Fred Niblo,American,Male,1874,1948,1920,1920,Film
Plain Fields,Jan Groover,American,Female,1943,2012,1981,1981,Photography
Untitled,Matt Mullican,American,Male,1951,,2010,2010,Prints & Illustrated Books
Covered Serving Dish,Magnus Stephensen,Danish,Male,1903,1984,1957,1957,Architecture & Design
SAINT CLOUD,Eugène Atget,French,Male,1857,1927,1924,1924,Photography
Münchener Zeitung,Ludwig Hohlwein,German,Male,1874,1949,1909,1909,Architecture & Design
In-text plate (page 252) from OEUVRES,Gustave Doré,French,Male,1832,1883,1854,1854,Prints & Illustrated Books
Work No. 117,Martin Creed,British,Male,1968,,1995,1995,Prints & Illustrated Books
Untitled fromStanzas for Kenji Kobayashi,Toshi Ichiyanagi,Japanese,Male,1933,,1961,1961,Fluxus Collection
INDEX D3. MUTUAL SURVEILLANCE IS SECURITY!!,Harry Bouras,American,Male,1931,1993,1973,1973,Prints & Illustrated Books
"Duplicate of plate from folio 99 (supplementary suite, plate 90) from LA VILLE",Frans Masereel,Belgian,Male,1889,1972,1925,1925,Prints & Illustrated Books
Port des Tuileries,Eugène Atget,French,Male,1857,1927,1927,1927,Photography
The Troubles,Les Levine,American,Male,1935,,1977,1977,Prints & Illustrated Books
Plate (page 25) from SEEING VOICE WELSH HEART,Paul Jenkins,American,Male,1923,2012,1965,1965,Prints & Illustrated Books
Evening on Which,Shusaku Arakawa,American,Male,1936,2010,1974,1974,Prints & Illustrated Books
"The New Society: Plate 2 (Die neue Gesellschaft: Blatt 2) (plate, folio 20 verso) from the periodical Der Bildermann, vol. 1, no. 10 (August 1916)",Ottomar Starke,German,Male,1886,1962,1916,1916,Prints & Illustrated Books
Untitled (8 April 1970),Robert Overby,American,Male,1935,1993,1970,1970,Drawings
Plate (facing page 60) from POEMS OF DEATH,Michael Ayrton,British,Male,1921,1975,1945,1945,Prints & Illustrated Books
End (Fim),Waltercio Caldas,Brazilian,Male,1946,,1973,1973,Prints & Illustrated Books
Woman Curtseying: Plate 198 from Animal Locomotion (1887),Eadweard J. Muybridge,American,Male,1830,1904,1884,1886,Photography
Surface Series from Currents,Robert Rauschenberg,American,Male,1925,2008,1970,1970,Prints & Illustrated Books
Untitled from Cuban Sketch Book,Jules Pascin,American,Male,1885,1930,1914,1920,Drawings
Plate (folio 13) from SELF PORTRAITS,James Brown,American,Male,1951,,1983,1983,Prints & Illustrated Books
Play for George Brecht,Albert M. Fine,American,Male,1932,1987,1966,1966,Prints & Illustrated Books
Untitled (6) from Untitled,Carroll Dunham,American,Male,1949,,2004,2006,Prints & Illustrated Books
Église Saint Méry,Eugène Atget,French,Male,1857,1927,1913,1913,Photography
Strawberry Road,Bengt af Klintberg,Swedish,Male,1938,,1975,1975,Fluxus Collection
Frank Lloyd Wright,Mervyn Kurlansky,British,Male,1936,,1980,1980,Architecture & Design
a. Two Anglers (Die beiden Angler) b. The Stern Bridge (Die Sternbrücke),Lyonel Feininger,American,Male,1871,1956,1916,1916,Drawings
Working-class Mother,August Sander,German,Male,1876,1964,1927,1927,Photography
American Pictorial Photography: Series I,Various Artists,,Other/Unknown,,,1900,1900,Photography
"ELEGY (plate, folio 46) from A GENESIS",Gabor Peterdi,American,Male,1915,2001,1967,1967,Prints & Illustrated Books
Untitled,Unknown,,Other/Unknown,,,1938,1960,Photography
Untitled,Unknown,,Other/Unknown,,,1895,1895,Photography
New York City,Lee Friedlander,American,Male,1934,,1988,1988,Photography
Lucky Numbers from DeLuxe,Ellen Gallagher,American,Female,1965,,2004,2005,Prints & Illustrated Books
Untitled,Christopher Le Brun,British,Male,1951,,1986,1986,Prints & Illustrated Books
Rollercoaster,John Baldessari,American,Male,1931,,1989,1990,Prints & Illustrated Books
Cock,Édouard Pignon,French,Male,1905,1993,1958,1958,Prints & Illustrated Books
Chamber Works: Architectural Meditations on Themes from Heraclitus,Daniel Libeskind,American,Male,1946,,1983,1983,Architecture & Design
Trieste Ledger Series,William Kentridge,South African,Male,1955,,2002,2002,Drawings
Berliner Tasse,Mario Merz,Italian,Male,1925,2003,1974,1974,Drawings
Plate (folio 59 verso) from In Memory of My Feelings,Willem de Kooning,American,Male,1904,1997,1967,1967,Prints & Illustrated Books
Untitled,Maryan S. Maryan,American,Male,1927,1977,1967,1967,Prints & Illustrated Books
Pierced Circle,Theodore Roszak,American,Male,1907,1981,1939,1939,Painting & Sculpture
Adam and Eve and Others,Sergio Gonzalez-Tornero,Chilean,Male,1927,,1966,1966,Prints & Illustrated Books
Umbrage,William Anastasi,American,Male,1933,,1977,1977,Photography
The Complex of the Sphinx,Pierre Alechinsky,Belgian,Male,1927,,1967,1967,Drawings
New York,Helen Levitt,American,Female,1913,2009,1971,1971,Photography
Eight Etchings,Jonas Wood,American,Male,1977,,2014,2014,Prints & Illustrated Books
"Gazeta futuristov, no. 1",Russian Book Collection,,Other/Unknown,,,1918,1918,Prints & Illustrated Books
Versailles. Porte 6 avenue de Paris,Eugène Atget,French,Male,1857,1927,1903,1903,Photography
Personal Service Announcement: Women and Money,Laurie Anderson,American,Female,1947,,1990,1990,Media and Performance Art
Untitled (Enfermera),Dr. Lakra (Jerónimo López Ramírez),Mexican,Male,1970,,2001,2001,Drawings
Saint-Cloud,Eugène Atget,French,Male,1857,1927,1926,1926,Photography
"THE EAGLE, THE WILD SOW, AND THE CAT (plate 32, 2nd supplementary suite) from FABLES",Marc Chagall,French,Male,1887,1985,1927,1952,Prints & Illustrated Books
Heads and Vanished Connections,Mauro Restiffe,Brazilian,Male,1977,,1995,1995,Photography
Event for a Whole Year,Robert Watts,American,Male,1923,1988,1962,1962,Prints & Illustrated Books
"LORD WHO REBUILDS JERUSALEM (plate, folio 16) from THE SILENT PRAYER",Peter Freudenthal,Swedish,Male,1938,,1977,1977,Prints & Illustrated Books
Mr. and Mrs. Henri Cartier-Bresson,Irving Penn,American,Male,1917,2009,1946,1946,Photography
Circus (Circense),Julio Agostinelli,Brazilian,Male,1919,,1951,1951,Photography
Untitled from Traces of anonymous pupil authors,Haegue Yang,Korean,Female,1971,,2001,2001,Prints & Illustrated Books
Poster of the French National Railroad,Album-miscellaneous,Various,Other/Unknown,,,1900,1943,Architecture & Design
Isy Boukir,Nancy Graves,American,Female,1940,1995,1971,1971,Film
Woman/Purple Dress/Kitchen from the series Interiors,Laurie Simmons,American,Female,1949,,1976,1977,Photography
Coney Island,Leon Levinstein,American,Male,1910,1988,1980,1980,Photography
Plate (folio 46) from LES TRAVAUX ET LES JEUX,André Derain,French,Male,1880,1954,1929,1929,Prints & Illustrated Books
PROMENADE (Les Cypresses) from L'Album d'estampes originales de la Galerie Vollard,Henri-Edmond Cross,French,Male,1856,1910,1897,1897,Prints & Illustrated Books
"El-Kantara Bridge, Constantine",John B. Greene,American,Male,1832,1856,1855,1856,Photography
ELEMENTS,Roger Vieillard,French,Male,1907,1989,1957,1957,Prints & Illustrated Books
"Gordon and Jim, with Gordon's Mother Margot, San Diego, California",Sage Sohier,American,Female,1954,,1987,1987,Photography
Headpiece (page 401) from L'IMITATION DE JÉSUS-CHRIST,Maurice Denis,French,Male,1870,1943,1893,1903,Prints & Illustrated Books
Pepper Tree Pattern,Roi Partridge,American,Male,,,1900,1941,Photography
Untitled,Mark Cohen,American,Male,1943,,1974,1974,Photography
Black Humor (Schwarzer Humor) from En Bloc,K. H. Hödicke,German,Male,1938,,1969,1969,Prints & Illustrated Books
Auvers-sur-Oise,Eugène Atget,French,Male,1857,1927,1922,1922,Photography
Untitled #153,Cindy Sherman,American,Female,1954,,1985,1985,Photography
La Description,Josip Vaništa,Croatian,Male,1924,2018,1964,1964,Drawings
Alpha's Despair (Alfas fortvilelse),Edvard Munch,Norwegian,Male,1863,1944,1908,1909,Prints & Illustrated Books
"Untitled, plate 1 of 14, from the portfolio, Autobiographical Series",Louise Bourgeois,American,Female,1911,2010,1994,1994,Prints & Illustrated Books
Plate (folio 7) from MADRIGAUX,Raoul Dufy,French,Male,1877,1953,1920,1920,Prints & Illustrated Books
Untitled,Maryan S. Maryan,American,Male,1927,1977,1967,1967,Prints & Illustrated Books
Music with Changing Parts,Philip Glass,American,Other/Unknown,1937,,1971,1971,Prints & Illustrated Books
9th Element for VENTRILOQUIST,Jasper Johns,American,Male,1930,,1986,1986,Prints & Illustrated Books
EMPOR,Hann Trier,German,Male,1915,1999,1959,1959,Prints & Illustrated Books
Bures (église),Eugène Atget,French,Male,1857,1927,1924,1924,Photography
Sunny (for Parkett no. 72),Alex Katz,American,Male,1927,,2004,2004,Prints & Illustrated Books
"Diapositive, Empire State Building",Joe Tilson,British,Male,1928,,1967,1967,Prints & Illustrated Books
Fête du Trône,Eugène Atget,French,Male,1857,1927,1923,1923,Photography
"Popular Print for the Exhibition ""Latin America 76"" Fundación Joan Miró, Spain",Álvaro Barrios,Colombian,Male,1945,,1976,1976,Prints & Illustrated Books
Head of a Woman,Elie Nadelman,American,Male,1882,1946,1904,1907,Drawings
Two Years of War in England,William Vandivert,American,Male,1912,1992,1927,1943,Photography
Untitled,Ruth Root,American,Female,1967,,2003,2003,Drawings
"Handwritten letter to Kinmont from Ariana Jacob, “Thanks for your nice handwritten reply…”",Ben Kinmont,American,Male,1963,,2010,2010,Prints & Illustrated Books
Oneness of Paper,Jiro Takamatsu,Japanese,Male,1936,1998,1972,1972,Drawings
I Will Die,Yang Zhenzhong,Chinese,Male,1968,,2003,2003,Media and Performance Art
Up to and Including Her Limits,Carolee Schneemann,American,Female,1939,,1973,1976,Drawings
Untitled (page 28) from ENDOCRINOLOGY,Kiki Smith,American,Female,1954,,1997,1997,Prints & Illustrated Books
"Sleep overcomes them (Las rinde el sueño) (plate 34, folio 34) from Los Caprichos",Francisco de Goya,Spanish,Male,1746,1828,1797,1799,Prints & Illustrated Books
"From the Shelton, West",Alfred Stieglitz,American,Male,1864,1946,1935,1935,Photography
Conversation With Landscape,Koichi Sato,Japanese,Male,1944,,1982,1983,Architecture & Design
"OATS (variant of in-text plate from volume I, page 41; tailpiece, volume II, page 2) from LES GÉORGIQUES",Aristide Maillol,French,Male,1861,1944,1908,1950,Prints & Illustrated Books
"Plate (suite, plate 9) from MABEL: A STORY",Jim Dine,American,Male,1935,,1977,1977,Prints & Illustrated Books
Untitled from 6+4,Christopher Wool,American,Male,1955,,2005,2005,Prints & Illustrated Books
(Untitled),Omar Rayo,Colombian,Male,1928,2010,1965,1965,Prints & Illustrated Books
Plate (folio 82) from LA VILLE,Frans Masereel,Belgian,Male,1889,1972,1925,1925,Prints & Illustrated Books
Blue Gypsy,Gustave Singier,Nationality Unknown,Male,,,1953,1953,Prints & Illustrated Books
Festons und Dekorative Gruppen,Unknown,,Other/Unknown,,,1893,1893,Photography
Untitled from Architectonic vs. HR,Santiago Cucullu,Argentine,Male,1969,,2006,2006,Prints & Illustrated Books
Yellow Peril from 10: Artist as Catalyst,Ben Sakoguchi,American,Male,1938,,1992,1992,Prints & Illustrated Books
Reclining Nude,Karl Hofer,German,Male,1878,1955,1948,1948,Drawings
Untitled (L.01.2),Christine Hiebert,American,Female,1960,,2001,2001,Drawings
Untitled from Black and Red Series (Série noire et rouge),Joan Miró,Spanish,Male,1893,1983,1938,1938,Prints & Illustrated Books
Sea Landscape,Gerhard Richter,German,Male,1932,,1971,1971,Prints & Illustrated Books
DE-CANTARE URBINO,Arnaldo Pomodoro,Italian,Male,1926,,1985,1985,Prints & Illustrated Books
"BANYULS, FRANCE: FISHERMAN'S BAR",Hilaire Hiler,American,Male,1898,1966,1929,1929,Prints & Illustrated Books
Drawing for Digits from the Wildwood,James Rosenquist,American,Male,1933,2017,1984,1984,Drawings
Platter,Paolo Venini,Italian,Male,1895,1959,1957,1957,Architecture & Design
Playtime,Jacques Tati,French,Male,1907,1982,1967,1967,Film
J'ai Tué,Fernand Léger,French,Male,1881,1955,1918,1918,Prints & Illustrated Books
Untitled,Unknown,,Other/Unknown,,,1938,1960,Photography
"Parliament Library, New Delhi, India (Structural model for the roof)",Raj Rewal,Indian,Male,1934,,1989,2003,Architecture & Design
< music for two players I >,Mieko Shiomi,Japanese,Female,1938,,1963,1963,Prints & Illustrated Books
"Sketchbook: El Golea, II",Jean Dubuffet,French,Male,1901,1985,1948,1948,Drawings
Bruynzeel Fineerfabriek stationery order form,Piet Zwart,Dutch,Male,1885,1977,1950,1950,Architecture & Design
Folio 9 from Utinoe gnezdyshko... durnykh slov (A Little Duck's Nest... of Bad Words),Olga Rozanova,Russian,Female,1886,1918,1913,1913,Prints & Illustrated Books
Saryn' na kichku! Stikhi izbrannye,Georgii Fisher,,Male,,,1932,1932,Prints & Illustrated Books
Free Dick Higgins,Dick Higgins,American,Male,1938,1998,1969,1969,Prints & Illustrated Books
(Untitled) (country dance),Geoff Winningham,American,Male,1943,,1972,1972,Photography
How Not to Be Seen: A Fucking Didactic Educational .MOV File,Hito Steyerl,German,Female,1966,,2013,2013,Media and Performance Art
Aktual shirt,Aktuální umĕni,,Other/Unknown,1964,,1967,1967,Fluxus Collection
Plate (page 33) from LAUS VENERIS,Jacques Villon,French,Male,1875,1963,1956,1956,Prints & Illustrated Books
Chips #2,Valérie Belin,French,Female,1964,,2004,2004,Photography
Untitled,Abraham Walkowitz,American,Male,1878,1965,1900,1900,Prints & Illustrated Books
"Reclining Chair without Arms (Perspective sketch, three detail sketches)",Ludwig Mies van der Rohe,American,Male,1886,1969,1934,1934,Architecture & Design
The Story of my Life and Friends as Told by Snapshots from Fourteen On,Unknown,,Other/Unknown,,,1916,1923,Photography
Deterioration (Détérioration) from the portfolio The Taker of Imprints (Le Preneur d'empreintes) from Phenomena (Les Phénomènes),Jean Dubuffet,French,Male,1901,1985,1958,1958,Prints & Illustrated Books
"Wrapping paper for Anger Management pop-up shop, Brooklyn Museum (Unhinged)",Louise Lawler,American,Female,1947,,2017,2017,Prints & Illustrated Books
"Farm, Grande Ronde Valley, Oregon",Minor White,American,Male,1908,1976,1941,1941,Photography
Paul Henderson and the Three Immortals,Mark Morrisroe,American,Male,1959,1989,1982,1982,Photography
Night Landing,Bryan Hunt,American,Male,1947,,1983,1983,Painting & Sculpture
Solidarity,Joyce Wieland,Canadian,Female,1931,1998,1973,1973,Film
"INTROITUS (frontispiece) from HOLY BIBLE: The Washburn College Bible, Volume I, Genesis to Nehemiah",Josef Albers,American,Male,1888,1976,1973,1979,Prints & Illustrated Books
"LOGOLOGY (plate, folio 25) from CERCEAUX 'SORCELLENT",Jean Dubuffet,French,Male,1901,1985,1967,1967,Prints & Illustrated Books
"Resor House Project, Jackson Hole, Wyoming, Elevation sketch",Ludwig Mies van der Rohe,American,Male,1886,1969,1937,1938,Architecture & Design
"A Child's Grave, Hale County, Alabama",Walker Evans,American,Male,1903,1975,1936,1936,Photography
Untitled #60,José Antonio Suárez Londoño,Colombian,Male,1955,,1991,1991,Prints & Illustrated Books
Mrigashira from Varsha,Ranjani Shettar,Indian,Female,1977,,2012,2012,Prints & Illustrated Books
Folding Music Stand,John Scofield,American,Male,1950,,1971,1971,Architecture & Design
Exodus of Confederates from Atlanta from Harper's Pictorial History of the Civil War (Annotated),Kara Walker,American,Female,1969,,2005,2005,Prints & Illustrated Books
Wait Till It Stops,Zero (Hans Schleger),British,Male,1898,1976,1949,1949,Architecture & Design
Headpiece (page 14) from EL SOMBRERON,Alfredo Zalce,Mexican,Male,1908,2003,1946,1946,Prints & Illustrated Books
"Tête d'otage, 1942 (in-text plate, page 57) from Fautrier l'enragé",Jean Fautrier,French,Male,1898,1964,1949,1949,Prints & Illustrated Books
Potato Harvesters,Jindrich Streit,Czech,Male,1946,,1985,1985,Photography
Swimming,Tina Barney,American,Female,1945,,1991,1991,Photography
Sketchbook,Paul Delvaux,Belgian,Male,1897,1994,1939,1944,Drawings
Poster of the French National Railroad,Album-miscellaneous,Various,Other/Unknown,,,1900,1943,Architecture & Design
"Resor House Project, Jackson Hole, Wyoming, 588 sketches",Ludwig Mies van der Rohe,American,Male,1886,1969,1938,1938,Architecture & Design
Tauromachies I,Lucien Clergue,French,Male,1934,,1961,1964,Photography
Recto/Verso #5,Robert Heinecken,American,Male,1931,2006,1988,1988,Photography
State Legislature,Frederick Wiseman,American,Male,1930,,2006,2006,Film
Untitled #155,José Antonio Suárez Londoño,Colombian,Male,1955,,1998,1998,Prints & Illustrated Books
"Untitled, no. 32 of 36, from the series, The Fragile",Louise Bourgeois,American,Female,1911,2010,2007,2007,Prints & Illustrated Books
Jenny Lind,Louis-Jacques-Mandé Daguerre,French,Male,1787,1851,1840,1851,Photography
Headpiece (page 35) from FRIPERIES,Raoul Dufy,French,Male,1877,1953,1922,1923,Prints & Illustrated Books
Untitled from Dominoes,Donald Sultan,American,Male,1951,,1990,1990,Prints & Illustrated Books
Hurray!,Josef Peeters,Belgian,Male,1895,1960,1921,1921,Drawings
"IIT Library and Administration Building, Chicago, Illinois, Window details.  Section, sectional perpsective.",Ludwig Mies van der Rohe,American,Male,1886,1969,1944,1945,Architecture & Design
Plate 4 (folio 10) from Liebesgedichte (Love Poems),Karl Hofer,German,Male,1878,1955,1922,1922,Prints & Illustrated Books
Notre-Dame,Eugène Atget,French,Male,1857,1927,1924,1924,Photography
Preparatory drawing for Chromatic Rhythms III,Alfredo Hlito,Argentine,Male,1923,1993,1949,1949,Drawings
In-text plate (folio 8) from VACILLATIONS,Pierre Alechinsky,Belgian,Male,1927,,1979,1979,Prints & Illustrated Books
Flaying a Convict,James Ensor,Belgian,Male,1860,1949,1888,1888,Prints & Illustrated Books
Spun Seat,Thomas Heatherwick,British,Male,1970,,2009,2009,Architecture & Design
Greeks,Jan Groover,American,Female,1943,2012,1984,1984,Photography
"Then, Mr. Ay-O Got Drunk by the Rainbow",Ay-O,Japanese,Male,1931,,1973,1973,Prints & Illustrated Books
Volksspende für die Deutschen Kriegs und Zivil Gefangenen,Ludwig Hohlwein,German,Male,1874,1949,1918,1918,Architecture & Design
Work Drawing: 10 x Place Distance Place,Franz Erhard Walther,German,Male,1939,,1968,1974,Drawings
Independence/Nakba,Fazal Sheikh,American,Male,1965,,2013,2013,Photography
"The Atheneum, New Harmony, IN (Plan, preliminary sketch)",Richard Meier,American,Male,1934,,1979,1979,Architecture & Design
"St. Mark's-in-the-Bouwerie Tower, New York Project (Study for the plan of the circulation between the balcony and living-room floors)",Frank Lloyd Wright,American,Male,1867,1959,1927,1931,Architecture & Design
Crab Apples,Edward Steichen,American,Male,1879,1973,1894,1961,Photography
"Protest Against the Army Interdiction of Free Exchange of People and Goods along the Border of Ulster and the Irish Repubilc, Ulster",Gilles Peress,French,Male,1946,,1972,1972,Photography
Untitled,Jürgen Partenheimer,German,Male,1947,,1983,1984,Prints & Illustrated Books
Night Driving,J. Thomas Zetterstrom,American,Male,1945,,1974,1974,Photography
Rayograph,Man Ray (Emmanuel Radnitzky),American,Male,1890,1976,1923,1923,Photography
Personage and Bird,Joan Miró,Spanish,Male,1893,1983,1968,1968,Painting & Sculpture
Little Cats (Die kleinen Katzen),Gerhard Marcks,German,Male,1889,1981,1922,1922,Prints & Illustrated Books
"My Portrait as a Skeleton (Mon portrait squelettisé), state III",James Ensor,Belgian,Male,1860,1949,1889,1889,Prints & Illustrated Books
Funny People,Judd Apatow,American,Male,1967,,2009,2009,Film
"First Arrival of Chinese Expeditionary Force Encampment Kowloon, March 1860",Felice Beato,Italian,Male,1825,1903,1860,1860,Photography
L'Espace en Soi en Soi L'Espace,Jean Miotte,French,Male,1926,,1987,1987,Prints & Illustrated Books
"Untitled, from a unique album titled ""Photographs by Rudolph Burckhardt; Sonnet by Edwin Denby""",Rudy Burckhardt,American,Male,1914,1999,1946,1947,Photography
C40,James Welling,American,Male,1951,,1981,1981,Photography
"Gingerbread House, Somerville, Massachusetts",Walker Evans,American,Male,1903,1975,1931,1931,Photography
"Painting, 4",Vasudeo S. Gaitonde,Indian,Male,1924,2001,1962,1962,Painting & Sculpture
THE GENERAL,Misch Kohn,American,Male,1916,,1958,1958,Prints & Illustrated Books
Variable Piece #44 / Global,Douglas Huebler,American,Male,1924,1997,1971,1971,Prints & Illustrated Books
"Plate (folio 26) from FLASH-NOVEMBER 22, 1963",Andy Warhol,American,Male,1928,1987,1968,1968,Prints & Illustrated Books
Untitled,Francis Bruguière,American,Male,1879,1945,1928,1929,Photography
"View of 100 Huntington, Boston",Nicholas Nixon,American,Male,1947,,2008,2008,Photography
Stonecutter,Eugène Atget,French,Male,1857,1927,1899,1900,Photography
Plate (facing page VI) from HOUSE OF INCEST,Ian (Hugh Guiler) Hugo,American,Male,1898,1985,1943,1947,Prints & Illustrated Books
Windy Morning in April from The Hundred Videos,Steve Reinke,Canadian,Male,1963,,1994,1994,Media and Performance Art
History: A class at Fort Monroe,Frances Benjamin Johnston,American,Female,1864,1952,1899,1900,Photography
HÔTEL DE NESMOND. 57 QUAI DE LA TOURNELLE,Eugène Atget,French,Male,1857,1927,1902,1903,Photography
Walking the Dog from The Hundred Videos,Steve Reinke,Canadian,Male,1963,,1992,1992,Media and Performance Art
The Hekatompedon Pattern,Alfred Jensen,American,Male,1903,1981,1966,1966,Drawings
Plate (page 64) from OUVERT LA NUIT,Luc-Albert Moreau,French,Male,1882,1948,1924,1924,Prints & Illustrated Books
Falls of the Yosemite. (Great Grizzly Bear) 2600 Feet Fall,Eadweard J. Muybridge,American,Male,1830,1904,1872,1872,Photography
Untitled from The Group,Ibrahim El-Salahi,Sudanese,Male,1930,,2016,2016,Prints & Illustrated Books
Untitled from Black Dahlias,Paul Morrison,British,Male,1966,,2002,2002,Prints & Illustrated Books
Untitled,Jan Groover,American,Female,1943,2012,1985,1985,Photography
Ascension Lente,Louise Bourgeois,American,Female,1911,2010,1949,1949,Prints & Illustrated Books
Martin Fabiani,Pablo Picasso,Spanish,Male,1881,1973,1943,1943,Drawings
Odysseus and the Beggar (Odysseus und der Bettler) from Compositions (Kompositionen),Lovis Corinth,German,Male,1858,1925,1921,1922,Prints & Illustrated Books
Foto '37,Unknown,Nationality Unknown,Other/Unknown,,,1937,1937,Architecture & Design
"Cristo with Thorns, Huexotla",Paul Strand,American,Male,1890,1976,1933,1933,Photography
Reclining Nude,Hans Hofmann,American,Male,1880,1966,1935,1935,Drawings
Conception,Peter Grippe,American,Male,1912,2002,1947,1947,Prints & Illustrated Books
Gipsmodelle + Entwürfe from Book Drafts,Rosemarie Trockel,German,Female,1952,,1995,1995,Drawings
Bibliothèque nationale,Eugène Atget,French,Male,1857,1927,1902,1903,Photography
Title page from THE PASTORAL LOVES OF DAPHNIS AND CHLOE,Ruth Reeves,American,Female,1892,1966,1934,1934,Prints & Illustrated Books
"Bauhausbücher 8, L. Moholy-Nagy: Malerei, Fotografie, Film",László Moholy-Nagy,American,Male,1895,1946,1927,1927,Architecture & Design
Plate (folio 40) from EL INGENIOSO HIDALGO DON QUIXOTE DE LA MANCHA,Roberto Matta,Chilean,Male,1911,2002,1991,1991,Prints & Illustrated Books
Untitled #105,José Antonio Suárez Londoño,Colombian,Male,1955,,1995,1995,Prints & Illustrated Books
Trianon (Buffet),Eugène Atget,French,Male,1857,1927,1922,1923,Photography
Pesni buntuiushchogo tela,Leonid Golubev-Bagriaporobnii,,Male,,,1918,1918,Prints & Illustrated Books
Calotypes by D.O. Hill,David Octavius Hill,British,Male,1802,1870,1843,1847,Photography
Border (page 93) from POÈMES,Henri Matisse,French,Male,1869,1954,1942,1950,Prints & Illustrated Books
"Oh, My Homeland (O mein Heimatland) (tailpiece, folio 46) from the periodical Der Bildermann, supplement to vol. 1, no. 15 (November 1916)",Ottomar Starke,German,Male,1886,1962,1916,1916,Prints & Illustrated Books
Ornamental initial C and ornament (page 159) from POÈSIES ANTILLAISES,Henri Matisse,French,Male,1869,1954,1946,1972,Prints & Illustrated Books
Reserves,Amy Cutler,American,Female,1974,,2008,2008,Prints & Illustrated Books
Sogum (Salt),Sang-ok Shin,Korean,Male,1926,2006,1985,1985,Film
"Ardoyne, Belfast",Gilles Peress,French,Male,1946,,1981,1981,Photography
The Fairytale (Das Märchen),Heinrich Campendonk,German,Male,1889,1957,1916,1916,Prints & Illustrated Books
Avenue du Bois de Boulogne,Jacques-Henri Lartigue,French,Male,1894,1986,1910,1910,Photography
NUDE WAVING HER HAIR (title page) from L'ART D'AIMER,Aristide Maillol,French,Male,1861,1944,1935,1935,Prints & Illustrated Books
A Chronicle of Corpses,Andrew Repasky McElhinney,American,Male,1978,,2000,2000,Film
18 Avenue Montaigne,Eugène Atget,French,Male,1857,1927,1901,1902,Photography
Untitled. (tapestry depicting a mountain village),Michael Schmidt,German,Male,1945,2014,1991,1994,Photography
Keyboard Dances,Philip Corner,American,Male,1933,,1963,1963,Prints & Illustrated Books
